data;regiao;casos;obitos;habitantes
mar;centro-oeste;940;10;16297074
abr;centro-oeste;4438;148;16297074
mai;centro-oeste;29422;592;16297074
jun;centro-oeste;159600;2710;16297074
jul;centro-oeste;307668;7180;16297074
mar;nordeste;1765;44;5771654
abr;nordeste;47288;3030;5771654
mai;nordeste;308451;14658;5771654
jun;nordeste;603204;20824;5771654
jul;nordeste;756946;18682;5771654
mar;norte;588;8;18430980
abr;norte;20957;1416;18430980
mai;norte;193959;9956;18430980
jun;norte;309356;7672;18430980
jul;norte;290240;4648;18430980
mar;sudeste;6810;322;88371433
abr;sudeste;78183;6475;88371433
mai;sudeste;289485;20871;88371433
jun;sudeste;597290;27244;88371433
jul;sudeste;864624;28664;88371433
mar;sul;1356;18;29975984
abr;sul;8560;342;29975984
mai;sul;36196;738;29975984
jun;sul;106232;2110;29975984
jul;sul;301410;6588;29975984
